2025-01-19 15:46:05 status unpacked libudev1:armel 232-25+deb9u12
2025-01-19 15:46:06 install libustr-1.0-1:armel <none> 1.0.4-6
2025-01-19 15:46:06 status half-installed libustr-1.0-1:armel 1.0.4-6
2025-01-19 15:46:06 status unpacked libustr-1.0-1:armel 1.0.4-6
2025-01-19 15:46:06 status unpacked libustr-1.0-1:armel 1.0.4-6
2025-01-19 15:46:06 install libuuid1:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:06 status half-installed libuuid1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:06 status unpacked libuuid1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:06 status unpacked libuuid1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:06 install login:armel <none> 1:4.4-4.1
2025-01-19 15:46:06 status half-installed login:armel 1:4.4-4.1
2025-01-19 15:46:06 status unpacked login:armel 1:4.4-4.1
2025-01-19 15:46:06 status unpacked login:armel 1:4.4-4.1
2025-01-19 15:46:06 install lsb-base:all <none> 9.20161125
2025-01-19 15:46:06 status half-installed lsb-base:all 9.20161125
2025-01-19 15:46:06 status unpacked lsb-base:all 9.20161125
2025-01-19 15:46:06 status unpacked lsb-base:all 9.20161125
2025-01-19 15:46:06 upgrade mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2025-01-19 15:46:06 status half-configured mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 status half-installed mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 status half-installed mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:46:06 install mount:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:06 status half-installed mount:armel 2.29.2-1+deb9u1
2025-01-19 15:46:07 status unpacked mount:armel 2.29.2-1+deb9u1
2025-01-19 15:46:07 status unpacked mount:armel 2.29.2-1+deb9u1
2025-01-19 15:46:07 install multiarch-support:armel <none> 2.24-11+deb9u4
2025-01-19 15:46:07 status half-installed multiarch-support:armel 2.24-11+deb9u4
2025-01-19 15:46:07 status unpacked multiarch-support:armel 2.24-11+deb9u4
2025-01-19 15:46:07 status unpacked multiarch-support:armel 2.24-11+deb9u4
2025-01-19 15:46:07 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 install ncurses-bin:armel <none> 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status half-installed ncurses-bin:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status unpacked ncurses-bin:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 status unpacked ncurses-bin:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:07 install passwd:armel <none> 1:4.4-4.1
2025-01-19 15:46:07 status half-installed passwd:armel 1:4.4-4.1
2025-01-19 15:46:07 status unpacked passwd:armel 1:4.4-4.1
2025-01-19 15:46:07 status unpacked passwd:armel 1:4.4-4.1
2025-01-19 15:46:07 upgrade perl-base:armel 5.24.1-3+deb9u7 5.24.1-3+deb9u7
2025-01-19 15:46:07 status half-configured perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:07 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:07 status half-installed perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:08 status half-installed perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:08 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:08 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:46:08 install sed:armel <none> 4.4-1
2025-01-19 15:46:08 status half-installed sed:armel 4.4-1
2025-01-19 15:46:08 status unpacked sed:armel 4.4-1
2025-01-19 15:46:08 status unpacked sed:armel 4.4-1
2025-01-19 15:46:08 install sensible-utils:all <none> 0.0.9+deb9u1
2025-01-19 15:46:08 status half-installed sensible-utils:all 0.0.9+deb9u1
2025-01-19 15:46:08 status unpacked sensible-utils:all 0.0.9+deb9u1
2025-01-19 15:46:08 status unpacked sensible-utils:all 0.0.9+deb9u1
2025-01-19 15:46:08 install sysvinit-utils:armel <none> 2.88dsf-59.9
2025-01-19 15:46:08 status half-installed sysvinit-utils:armel 2.88dsf-59.9
2025-01-19 15:46:08 status unpacked sysvinit-utils:armel 2.88dsf-59.9
2025-01-19 15:46:08 status unpacked sysvinit-utils:armel 2.88dsf-59.9
2025-01-19 15:46:08 install tar:armel <none> 1.29b-1.1
2025-01-19 15:46:08 status half-installed tar:armel 1.29b-1.1
2025-01-19 15:46:08 status unpacked tar:armel 1.29b-1.1
2025-01-19 15:46:08 status unpacked tar:armel 1.29b-1.1
2025-01-19 15:46:09 install tzdata:all <none> 2020a-0+deb9u1
2025-01-19 15:46:09 status half-installed tzdata:all 2020a-0+deb9u1
2025-01-19 15:46:09 status unpacked tzdata:all 2020a-0+deb9u1
2025-01-19 15:46:09 status unpacked tzdata:all 2020a-0+deb9u1
2025-01-19 15:46:09 install util-linux:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:09 status half-installed util-linux:armel 2.29.2-1+deb9u1
2025-01-19 15:46:09 status unpacked util-linux:armel 2.29.2-1+deb9u1
2025-01-19 15:46:09 status unpacked util-linux:armel 2.29.2-1+deb9u1
2025-01-19 15:46:09 install zlib1g:armel <none> 1:1.2.8.dfsg-5
2025-01-19 15:46:09 status half-installed zlib1g:armel 1:1.2.8.dfsg-5
2025-01-19 15:46:09 status unpacked zlib1g:armel 1:1.2.8.dfsg-5
2025-01-19 15:46:09 status unpacked zlib1g:armel 1:1.2.8.dfsg-5
2025-01-19 15:46:10 startup packages configure
2025-01-19 15:46:10 configure gcc-6-base:armel 6.3.0-18+deb9u1 <none>
